,0
1993,91
1994,86
1995,84
1996,81
1997,81
1998,81
1999,81
2000,81
2001,80
2002,80
2003,80
2004,80
2005,81
2006,82
2007,85
2008,88
2009,90
2010,94
2011,101
2012,108
2013,112
2014,122
2015,126
2016,126
2017,127
2018,133
2019,134
2020,139
2021,144
2022,146
2023,148
2024,150
2025,152
2026,155
2027,157
2028,158
2029,160
2030,160
2031,161
2032,161
2033,160
2034,157
2035,153
2036,148
2037,147
2038,147
2039,145
2040,143
2041,142
2042,140
2043,139
2044,140
2045,135
2046,127
2047,126
2048,129
2049,129
2050,127
2051,122
2052,123
2053,124
2054,119
2055,119
2056,114
2057,109
2058,113
2059,113
2060,107
2061,110
2062,112
2063,113
2064,115
2065,113
2066,114
2067,113
2068,111
2069,109
2070,111
2071,109
2072,106
2073,105
2074,107
2075,104
2076,96
2077,103
2078,101
2079,97
2080,103
2081,108
2082,115
2083,119
2084,121
2085,123
2086,127
2087,130
2088,132
2089,133
2090,133
2091,130
2092,126
2093,126
2094,128
2095,130
2096,130
2097,130
2098,128
2099,129
2100,127
2101,124
2102,126
2103,125
2104,122
2105,123
2106,129
2107,133
2108,138
2109,141
2110,145
2111,148
2112,153
2113,155
2114,161
2115,161
2116,163
2117,166
2118,167
2119,167
2120,167
2121,165
2122,164
2123,161
2124,156
2125,154
2126,154
2127,155
2128,152
2129,150
2130,149
2131,147
2132,149
2133,149
2134,148
2135,137
2136,132
2137,132
2138,133
2139,134
2140,132
2141,130
2142,124
2143,124
2144,128
2145,130
2146,130
2147,125
2148,123
2149,126
2150,129
2151,126
2152,123
2153,123
2154,123
2155,124
2156,115
2157,108
2158,108
2159,106
2160,100
2161,100
2162,99
2163,100
2164,103
2165,105
2166,101
2167,103
2168,105
2169,105
2170,91
2171,89
2172,98
2173,112
2174,118
2175,118
2176,118
2177,119
2178,122
2179,125
2180,132
2181,136
2182,139
2183,142
2184,144
2185,144
2186,139
2187,137
2188,137
2189,137
2190,136
2191,137
2192,136
2193,130
2194,116
2195,115
2196,120
2197,118
2198,111
2199,104
2200,101
2201,94
2202,93
2203,92
2204,89
2205,88
2206,86
2207,85
2208,85
2209,85
2210,84
2211,84
2212,85
2213,84
2214,83
2215,84
2216,85
2217,84
2218,82
2219,82
2220,83
2221,85
2222,105
2223,110
2224,123
2225,128
2226,125
2227,121
2228,119
2229,126
2230,131
2231,137
2232,144
2233,146
2234,150
2235,152
2236,157
2237,158
2238,157
2239,156
2240,157
2241,158
2242,158
2243,157
2244,157
2245,154
2246,152
2247,151
2248,149
2249,146
2250,143
2251,130
2252,126
2253,123
2254,119
2255,113
2256,111
2257,111
2258,93
2259,93
2260,97
2261,96
2262,98
2263,95
2264,92
2265,92
2266,90
2267,86
2268,84
2269,83
2270,82
2271,83
2272,83
2273,82
2274,81
2275,82
2276,92
2277,97
2278,100
2279,98
2280,98
2281,97
2282,96
2283,93
2284,90
2285,86
2286,84
2287,83
2288,82
2289,81
2290,82
2291,82
2292,83
2293,83
2294,83
2295,83
2296,85
2297,88
2298,92
2299,93
2300,91
2301,86
2302,84
2303,82
2304,81
2305,82
2306,82
2307,82
2308,86
2309,88
2310,87
2311,85
2312,87
2313,90
2314,87
2315,88
2316,87
2317,86
2318,87
2319,88
2320,89
2321,89
2322,90
2323,94
2324,105
2325,114
2326,122
2327,130
2328,137
2329,140
2330,144
2331,148
2332,151
2333,153
2334,155
2335,156
2336,156
2337,156
2338,158
2339,160
2340,163
2341,164
2342,164
2343,165
2344,165
2345,164
2346,161
2347,161
2348,164
2349,165
2350,167
2351,166
2352,163
2353,160
2354,159
2355,157
2356,151
2357,149
2358,149
2359,148
2360,142
2361,139
2362,137
2363,141
2364,144
2365,145
2366,143
2367,142
2368,142
2369,139
2370,134
2371,136
2372,134
2373,126
2374,125
2375,123
2376,125
2377,124
2378,109
2379,103
2380,94
2381,88
2382,87
2383,90
2384,92
2385,94
2386,102
2387,105
2388,98
2389,99
2390,104
2391,110
2392,110
2393,114
2394,122
2395,132
2396,136
2397,138
2398,142
2399,143
2400,146
2401,146
2402,143
2403,105
2404,113
2405,120
2406,129
2407,133
2408,132
2409,130
2410,126
2411,128
2412,132
2413,134
2414,134
2415,133
2416,135
2417,137
2418,138
2419,138
2420,137
2421,138
2422,141
2423,143
2424,142
2425,136
2426,134
2427,135
2428,136
2429,137
2430,133
2431,130
2432,132
2433,135
2434,133
2435,128
2436,123
2437,123
2438,125
2439,125
2440,120
2441,118
2442,118
2443,117
2444,116
2445,107
2446,107
2447,107
2448,108
2449,109
2450,106
2451,106
2452,103
2453,97
2454,102
2455,103
2456,102
2457,102
2458,106
2459,108
2460,109
2461,112
2462,105
2463,95
2464,95
2465,101
2466,103
2467,101
2468,102
2469,103
2470,107
2471,111
2472,112
2473,107
2474,100
2475,101
2476,107
2477,111
2478,109
2479,105
2480,103
2481,105
2482,105
2483,105
2484,109
2485,110
2486,112
2487,117
2488,118
2489,113
2490,112
2491,111
2492,111
2493,112
2494,105
2495,102
2496,104
2497,108
2498,111
2499,111
2500,109
2501,110
2502,114
2503,117
2504,116
2505,115
2506,105
2507,107
2508,110
2509,98
2510,96
2511,97
2512,97
2513,100
2514,104
2515,105
2516,102
2517,102
2518,100
2519,98
2520,98
2521,92
2522,91
2523,90
2524,90
2525,89
2526,86
2527,86
2528,88
2529,89
2530,88
2531,84
2532,83
2533,84
2534,89
2535,88
2536,86
2537,87
2538,89
2539,90
2540,91
